Variedad,DistanciaEntreHileras_m,SemillasPormLineal,DistanciaEntrePlantas_m,Densidad_Plantasha,Epoca,Repeticion,Vainas_planta,Peso1000semillas_g,NGranos_m2,Rendimiento_Kgha
6563IPRO,"0,45",8,125,177778,1,1,"59,0","179,0","2720,9","5479,2"
6563IPRO,"0,45",8,125,177778,1,2,"62,0","161,8","2874,1","4997,8"
6563IPRO,"0,45",8,125,177778,1,3,"63,0","150,2","2704,1","4177,9"
6563IPRO,"0,45",12,"833,333,333,333,333",266667,1,1,"72,0","173,4","2848,9","5229,7"
6563IPRO,"0,45",12,"833,333,333,333,333",266667,1,2,"74,0","173,4","2605,5","4783,3"
6563IPRO,"0,45",12,"833,333,333,333,333",266667,1,3,"65,0","149,0","2814,0","4668,9"
6563IPRO,"0,45",16,625,355556,1,1,"57,0","169,4","2648,2","5429,0"
6563IPRO,"0,45",16,625,355556,1,2,"62,0","167,8","2478,6","4992,0"
6563IPRO,"0,45",16,625,355556,1,3,"32,0","152,1","2662,7","4665,0"
7062,"0,45",8,125,177778,1,1,"46,0","231,7","1484,3","3993,1"
7062,"0,45",8,125,177778,1,2,"54,0","202,8","1913,3","4657,2"
7062,"0,45",8,125,177778,1,3,"62,0","214,0","1813,2","3991,2"
7062,"0,45",12,"833,333,333,333,333",266667,1,1,"61,0","230,9","1821,8","5046,8"
7062,"0,45",12,"833,333,333,333,333",266667,1,2,"68,0","211,8","2124,5","4585,2"
7062,"0,45",12,"833,333,333,333,333",266667,1,3,"70,5","212,3","1924,7","4548,7"
7062,"0,45",16,625,355556,1,1,"54,0","224,6","2069,9","6436,7"
7062,"0,45",16,625,355556,1,2,"45,5","220,5","1967,0","5576,2"
7062,"0,45",16,625,355556,1,3,"48,0","218,3","2023,8","4894,6"
5907 IPRO,"0,45",8,125,177778,1,1,"75,0","180,7","1858,6","4168,0"
5907 IPRO,"0,45",8,125,177778,1,2,"81,5","166,6","1996,3","3373,1"
5907 IPRO,"0,45",8,125,177778,1,3,"73,5","174,3","1729,4","2384,9"
5907 IPRO,"0,45",12,"833,333,333,333,333",266667,1,1,"52,0","178,0","1393,3","2790,3"
5907 IPRO,"0,45",12,"833,333,333,333,333",266667,1,2,"54,0","165,3","930,1","1677,5"
5907 IPRO,"0,45",12,"833,333,333,333,333",266667,1,3,"50,0","177,8","1273,5","2521,3"
5907 IPRO,"0,45",16,625,355556,1,1,"61,0","186,2","1404,1","3391,4"
5907 IPRO,"0,45",16,625,355556,1,2,"54,5","164,9","1539,4","3004,2"
5907 IPRO,"0,45",16,625,355556,1,3,"56,5","161,7","1674,8","2617,1"
6505 B,"0,45",8,125,177778,1,1,"77,0","152,7","3381,3","5994,8"
6505 B,"0,45",8,125,177778,1,2,"80,0","134,7","3017,7","3215,7"
6505 B,"0,45",8,125,177778,1,3,"83,5","146,2","3023,9","4749,8"
6505 B,"0,45",12,"833,333,333,333,333",266667,1,1,"80,0","160,5","3136,0","5908,9"
6505 B,"0,45",12,"833,333,333,333,333",266667,1,2,"87,0","131,2","3017,7","4699,7"
6505 B,"0,45",12,"833,333,333,333,333",266667,1,3,"93,0","150,7","3002,5","4887,5"
6505 B,"0,45",16,625,355556,1,1,"42,0","165,4","2869,1","5841,6"
6505 B,"0,45",16,625,355556,1,2,"41,5","142,5","2969,2","4836,0"
6505 B,"0,45",16,625,355556,1,3,"36,5","155,8","2947,4","4899,5"
5959,"0,45",8,125,177778,1,1,"79,0","196,5","1351,7","2854,1"
5959,"0,45",8,125,177778,1,2,"70,5","208,6","1899,2","3907,5"
5959,"0,45",8,125,177778,1,3,"81,0","200,2","1565,1","3270,4"
5959,"0,45",12,"833,333,333,333,333",266667,1,1,"57,0","182,5","1309,1","2715,6"
5959,"0,45",12,"833,333,333,333,333",266667,1,2,"61,5","203,2","1501,2","3661,1"
5959,"0,45",12,"833,333,333,333,333",266667,1,3,"65,0","191,3","1242,5","2566,5"
5959,"0,45",16,625,355556,1,1,"48,0","191,2","1868,5","4082,7"
5959,"0,45",16,625,355556,1,2,"46,5","187,9","2096,4","4573,5"
5959,"0,45",16,625,355556,1,3,"47,5","198,1","1496,9","3259,7"
5909,"0,45",8,125,177778,1,1,"82,0","176,8","2701,5","5057,2"
5909,"0,45",8,125,177778,1,2,"82,0","177,6","1502,8","2745,5"
5909,"0,45",8,125,177778,1,3,"91,0","182,3","2114,9","3802,5"
5909,"0,45",12,"833,333,333,333,333",266667,1,1,"51,0","183,8","2394,9","4028,6"
5909,"0,45",12,"833,333,333,333,333",266667,1,2,"51,5","175,6","2038,9","3985,4"
5909,"0,45",12,"833,333,333,333,333",266667,1,3,"51,0","189,8","1913,7","4045,2"
5909,"0,45",16,625,355556,1,1,"63,0","170,4","2906,8","5244,2"
5909,"0,45",16,625,355556,1,2,"63,5","172,7","1992,3","3753,2"
5909,"0,45",16,625,355556,1,3,"68,0","191,6","1821,4","3141,0"
6410,"0,45",8,125,177778,1,1,"94,0","154,7","3209,6","5181,3"
6410,"0,45",8,125,177778,1,2,"99,5","156,8","3057,6","5568,7"
6410,"0,45",8,125,177778,1,3,"98,5","157,8","2977,5","4571,3"
6410,"0,45",12,"833,333,333,333,333",266667,1,1,"81,0","154,4","3479,1","6516,5"
6410,"0,45",12,"833,333,333,333,333",266667,1,2,"80,0","153,8","2767,9","5345,2"
6410,"0,45",12,"833,333,333,333,333",266667,1,3,"92,0","159,3","2731,7","4350,8"
6410,"0,45",16,625,355556,1,1,"63,0","147,5","2841,4","4437,7"
6410,"0,45",16,625,355556,1,2,"63,5","158,6","2691,5","5164,3"
6410,"0,45",16,625,355556,1,3,"64,0","158,5","3007,3","4766,9"
6262,"0,45",8,125,177778,1,1,"89,0","187,4","2075,3","4001,0"
6262,"0,45",8,125,177778,1,2,"85,0","164,7","1263,0","2202,0"
6262,"0,45",8,125,177778,1,3,"88,0","180,4","1298,1","2676,4"
6262,"0,45",12,"833,333,333,333,333",266667,1,1,"75,0","177,4","2600,8","4883,9"
6262,"0,45",12,"833,333,333,333,333",266667,1,2,"73,5","168,4","1686,5","3228,8"
6262,"0,45",12,"833,333,333,333,333",266667,1,3,"67,5","171,2","1893,0","4216,0"
6262,"0,45",16,625,355556,1,1,"80,0","164,0","2704,9","4877,4"
6262,"0,45",16,625,355556,1,2,"82,0","184,5","2144,3","4316,9"
6262,"0,45",16,625,355556,1,3,"77,5","183,7","1249,1","2503,3"
R19,"0,45",8,125,177778,1,1,"121,0","161,2","2821,3","4814,9"
R19,"0,45",8,125,177778,1,2,"122,0","181,3","2582,5","3179,4"
R19,"0,45",8,125,177778,1,3,"120,5","180,7","2701,1","7027,1"
R19,"0,45",12,"833,333,333,333,333",266667,1,1,"60,0","170,2","2370,7","3925,7"
R19,"0,45",12,"833,333,333,333,333",266667,1,2,"61,5","169,8","2366,3","4094,3"
R19,"0,45",12,"833,333,333,333,333",266667,1,3,"60,5","161,6","3031,1","5185,1"
R19,"0,45",16,625,355556,1,1,"64,0","168,8","2347,6","4529,5"
R19,"0,45",16,625,355556,1,2,"67,0","174,2","2008,4","4380,4"
R19,"0,45",16,625,355556,1,3,"68,0","160,7","2657,8","4731,7"
6806,"0,45",8,125,177778,1,1,"104,0","145,8","2370,5","3889,2"
6806,"0,45",8,125,177778,1,2,"104,5","151,3","2182,2","4028,7"
6806,"0,45",8,125,177778,1,3,"99,0","138,3","2974,6","4778,0"
6806,"0,45",12,"833,333,333,333,333",266667,1,1,"63,0","165,8","2487,1","4497,4"
6806,"0,45",12,"833,333,333,333,333",266667,1,2,"58,0","153,6","2549,9","4805,9"
6806,"0,45",12,"833,333,333,333,333",266667,1,3,"52,5","148,0","3054,2","5742,2"
6806,"0,45",16,625,355556,1,1,"64,0","152,7","2419,9","4433,8"
6806,"0,45",16,625,355556,1,2,"62,5","159,8","2386,4","4734,5"
6806,"0,45",16,625,355556,1,3,"76,0","158,4","2733,0","4724,0"
6205B,"0,45",8,125,177778,1,1,"59,0","156,9","2177,4","3464,4"
6205B,"0,45",8,125,177778,1,2,"73,5","177,8","2454,5","5068,7"
6205B,"0,45",8,125,177778,1,3,"75,0","163,9","2489,7","4319,7"
6205B,"0,45",12,"833,333,333,333,333",266667,1,1,"70,0","159,5","2293,0","4292,2"
6205B,"0,45",12,"833,333,333,333,333",266667,1,2,"71,5","168,6","1919,8","3427,9"
6205B,"0,45",12,"833,333,333,333,333",266667,1,3,"77,0","169,9","2736,6","5343,0"
6205B,"0,45",16,625,355556,1,1,"57,0","155,4","2431,9","4423,1"
6205B,"0,45",16,625,355556,1,2,"52,5","163,9","2559,7","4682,0"
6205B,"0,45",16,625,355556,1,3,"55,0","170,4","2209,6","4594,5"
5958,"0,45",8,125,177778,1,1,"64,0","171,7","1615,6","2853,8"
5958,"0,45",8,125,177778,1,2,"68,5","219,7","2349,7","5630,4"
5958,"0,45",8,125,177778,1,3,"83,0","155,0","1445,5","2560,5"
5958,"0,45",12,"833,333,333,333,333",266667,1,1,"50,0","158,6","1559,6","2520,2"
5958,"0,45",12,"833,333,333,333,333",266667,1,2,"64,5","166,1","1563,4","3186,5"
5958,"0,45",12,"833,333,333,333,333",266667,1,3,"66,0","152,4","1593,8","2168,3"
5958,"0,45",16,625,355556,1,1,"68,0","158,6","1370,7","2524,6"
5958,"0,45",16,625,355556,1,2,"65,0","175,6","1394,1","3038,8"
5958,"0,45",16,625,355556,1,3,"64,5","171,8","2053,1","3877,2"
5947,"0,45",8,125,177778,1,1,"73,0","172,9","1953,1","3683,6"
5947,"0,45",8,125,177778,1,2,"79,5","163,9","2320,4","4345,4"
5947,"0,45",8,125,177778,1,3,"80,5","165,4","2227,0","4348,4"
5947,"0,45",12,"833,333,333,333,333",266667,1,1,"56,0","159,7","1849,8","3222,7"
5947,"0,45",12,"833,333,333,333,333",266667,1,2,"59,0","162,7","2832,5","5923,8"
5947,"0,45",12,"833,333,333,333,333",266667,1,3,"56,5","167,2","2356,6","4948,0"
5947,"0,45",16,625,355556,1,1,"53,0","156,4","2344,4","3912,2"
5947,"0,45",16,625,355556,1,2,"55,5","164,5","2706,4","5526,5"
5947,"0,45",16,625,355556,1,3,"55,0","169,4","2410,0","4354,3"
1163,"0,45",8,125,177778,1,1,"72,0","166,2","2177,7","3177,8"
1163,"0,45",8,125,177778,1,2,"75,0","179,9","1425,6","2172,5"
1163,"0,45",8,125,177778,1,3,"62,5","178,2","2059,9","4404,2"
1163,"0,45",12,"833,333,333,333,333",266667,1,1,"73,5","168,8","2251,3","4510,8"
1163,"0,45",12,"833,333,333,333,333",266667,1,2,"68,0","162,8","1179,5","2439,5"
1163,"0,45",12,"833,333,333,333,333",266667,1,3,"85,0","172,3","1986,0","3695,6"
1163,"0,45",16,625,355556,1,1,"52,0","159,2","2476,6","3998,5"
1163,"0,45",16,625,355556,1,2,"55,0","148,1","1449,0","2687,9"
1163,"0,45",16,625,355556,1,3,"52,5","167,1","2109,5","4377,0"
6563IPRO,"0,45",8,125,177778,2,1,"56,7","136,1","2144,7","2627,0"
6563IPRO,"0,45",8,125,177778,2,2,"38,7","137,8","2070,8","2702,3"
6563IPRO,"0,45",8,125,177778,2,3,"47,7","139,4","1998,8","2572,0"
6563IPRO,"0,45",12,"833,333,333,333,333",266667,2,1,"40,3","126,4","1352,4","1884,7"
6563IPRO,"0,45",12,"833,333,333,333,333",266667,2,2,"31,3","134,8","1533,3","2146,1"
6563IPRO,"0,45",12,"833,333,333,333,333",266667,2,3,"35,8","130,6","1444,8","2017,5"
6563IPRO,"0,45",16,625,355556,2,1,"37,3","129,3","1720,4","3139,3"
6563IPRO,"0,45",16,625,355556,2,2,"28,7","104,1","1388,4","1875,2"
6563IPRO,"0,45",16,625,355556,2,3,"33,0","116,9","1574,5","2488,1"
7062,"0,45",8,125,177778,2,1,"78,3","171,8","1419,5","2509,1"
7062,"0,45",8,125,177778,2,2,"77,7","160,4","1580,9","2725,7"
7062,"0,45",8,125,177778,2,3,"44,3","175,0","1317,8","2863,0"
7062,"0,45",12,"833,333,333,333,333",266667,2,1,"76,3","142,6","2255,8","3406,6"
7062,"0,45",12,"833,333,333,333,333",266667,2,2,"51,3","152,8","1929,9","3537,8"
7062,"0,45",12,"833,333,333,333,333",266667,2,3,"61,7","168,8","1353,9","4255,3"
7062,"0,45",16,625,355556,2,1,"56,3","167,8","1810,9","3976,2"
7062,"0,45",16,625,355556,2,2,"61,7","155,5","1938,8","5049,0"
7062,"0,45",16,625,355556,2,3,"34,7","162,9","1682,9","2903,5"
5907 IPRO,"0,45",8,125,177778,2,1,"48,2","114,3","1470,9","1458,6"
5907 IPRO,"0,45",8,125,177778,2,2,"62,1","115,6","1042,2","1204,6"
5907 IPRO,"0,45",8,125,177778,2,3,"76,0","133,6","1375,6","2645,8"
5907 IPRO,"0,45",12,"833,333,333,333,333",266667,2,1,"69,0","132,8","1733,9","2346,8"
5907 IPRO,"0,45",12,"833,333,333,333,333",266667,2,2,"49,9","120,0","936,5","2697,0"
5907 IPRO,"0,45",12,"833,333,333,333,333",266667,2,3,"30,7","130,6","1467,9","2741,4"
5907 IPRO,"0,45",16,625,355556,2,1,"40,3","115,5","2323,0","3479,7"
5907 IPRO,"0,45",16,625,355556,2,2,"48,1","114,7","1434,9","2961,3"
5907 IPRO,"0,45",16,625,355556,2,3,"56,0","123,0","1447,2","2684,2"
